"n_inj","t_half","xm","alpha","offset","upper","i_rep","method","n_detected","n_injected","TP","FP","FN","SEN","SPC","res_dir"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-43"
5,5e-05,10,1,30,150,1,"QFD",6,4,4,0,0,1,0.666666666666667,"./res_14312715-44"
5,5e-05,10,1,30,150,1,"1-3-sigma",1,4,0,1,4,0,0,"./res_14312715-44"
5,5e-05,10,1,30,150,1,"QFD",8,5,5,3,0,1,0.625,"./res_14312715-45"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-45"
5,5e-05,10,1,30,150,1,"QFD",5,5,4,1,1,0.8,0.8,"./res_14312715-46"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-46"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-47"
5,5e-05,10,1,30,150,1,"1-3-sigma",1,5,0,1,5,0,0,"./res_14312715-47"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-48"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-48"
5,5e-05,10,1,30,150,1,"QFD",8,4,3,1,1,0.75,0.375,"./res_14312715-49"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-49"
5,5e-05,10,1,30,150,1,"QFD",5,5,4,2,1,0.8,0.8,"./res_14312715-5"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-5"
5,5e-05,10,1,30,150,1,"QFD",12,5,5,12,0,1,0.416666666666667,"./res_14312715-50"
5,5e-05,10,1,30,150,1,"1-3-sigma",1,5,0,1,5,0,0,"./res_14312715-50"
5,5e-05,10,1,30,150,1,"QFD",4,5,4,1,1,0.8,1,"./res_14312715-51"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-51"
5,5e-05,10,1,30,150,1,"QFD",9,4,3,6,1,0.75,0.333333333333333,"./res_14312715-52"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-52"
5,5e-05,10,1,30,150,1,"QFD",11,4,4,3,0,1,0.363636363636364,"./res_14312715-53"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-53"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-54"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-54"
5,5e-05,10,1,30,150,1,"QFD",5,4,4,1,0,1,0.8,"./res_14312715-55"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-55"
5,5e-05,10,1,30,150,1,"QFD",5,5,4,1,1,0.8,0.8,"./res_14312715-56"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-56"
5,5e-05,10,1,30,150,1,"QFD",5,4,4,1,0,1,0.8,"./res_14312715-57"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-57"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-59"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-59"
5,5e-05,10,1,30,150,1,"QFD",6,4,4,1,0,1,0.666666666666667,"./res_14312715-6"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-6"
5,5e-05,10,1,30,150,1,"QFD",7,5,5,2,0,1,0.714285714285714,"./res_14312715-60"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-60"
5,5e-05,10,1,30,150,1,"QFD",5,4,4,1,0,1,0.8,"./res_14312715-61"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-61"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-62"
5,5e-05,10,1,30,150,1,"1-3-sigma",1,5,0,1,5,0,0,"./res_14312715-62"
5,5e-05,10,1,30,150,1,"QFD",17,5,5,14,0,1,0.294117647058824,"./res_14312715-63"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-63"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-64"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-64"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,2,0,1,0.833333333333333,"./res_14312715-65"
5,5e-05,10,1,30,150,1,"1-3-sigma",1,5,0,1,5,0,0,"./res_14312715-65"
5,5e-05,10,1,30,150,1,"QFD",14,5,5,7,0,1,0.357142857142857,"./res_14312715-66"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-66"
5,5e-05,10,1,30,150,1,"QFD",5,4,4,1,0,1,0.8,"./res_14312715-67"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-67"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-68"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-68"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-69"
5,5e-05,10,1,30,150,1,"1-3-sigma",1,5,0,1,5,0,0,"./res_14312715-69"
5,5e-05,10,1,30,150,1,"QFD",5,5,4,1,1,0.8,0.8,"./res_14312715-7"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-7"
5,5e-05,10,1,30,150,1,"QFD",6,4,4,1,0,1,0.666666666666667,"./res_14312715-70"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-70"
5,5e-05,10,1,30,150,1,"QFD",7,5,4,2,1,0.8,0.571428571428571,"./res_14312715-71"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-71"
5,5e-05,10,1,30,150,1,"QFD",6,4,4,1,0,1,0.666666666666667,"./res_14312715-72"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-72"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-73"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-73"
5,5e-05,10,1,30,150,1,"QFD",7,4,4,2,0,1,0.571428571428571,"./res_14312715-74"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-74"
5,5e-05,10,1,30,150,1,"QFD",17,5,5,9,0,1,0.294117647058824,"./res_14312715-75"
